Åbo=Finnland, Åbo-Björneborg
Ačinsk=Enissejsk
Achalcych=Tiflis
Achalkalaki=Tiflis
Achtyrka=Char'kov
Akkerman=Bessarabien
Akmolinsk=(Gouv.-Stadt)
Alapaevsk=Perm'
Alatyr=Simbirsk
Aleksandrija=Cherson
Aleksandropol (Gumry), Festung=Erevan (Armenien)
Aleksandrov=Vladimir
Aleksandrovsk=Ekaterinoslav
Aleksandrovsk=Pskov
Aleksin=Tula
Aleški (Kr. Dnepr)=Taurien
Ananev=Cherson
Anapa=Schwarzmeer-Geb.
Andreev=Kelce ?
Archangel'sk (mit Solombaly)=(Gouv.-Stadt)
Ardatov=Nižnij-Novgorod
Arensburg (Oesel)=Livland
Arsk=Kazan'
Artvin=Kutais (Georgien)
Arzamas ?=Nižnij-Novgorod
Ašchabad=Transkaspien (Turkestan)
Astrachan'=(Gouv.-Stadt)
Atkarsk=Saratov
Aulie-Ata ?=Syr-Darja-Gebiet
Avgustovo=Suvalki
Azov=Ekaterinoslav
Babinoviči=Mogilev
Bachčisaraj=Taurien
Bachmut=Ekaterinoslav
Baku=(Gouv.-Stadt; Aserbaidžan)
Balachna=Nižnij-Novgorod
Balagansk=Irkutsk
Balaklava (Hafen)=Taurien
Balašov=Saratov
Balta=Podolien
Baltisch-Port (Hafen)=Estland
Bar=Podolien
Barguzin=Transbaikalien
Barnaul=Tomsk
Batalpašinsk=Kuban-Gebiet
Batum=(Gebietsstadt, Georgien)
Bauske=Kurland
Bela ?=Sedlec
Belcy (Kr. Jasy)=Bessarabien
Belebej=Ufa
Belgoraj ?=Ljublin
Belgorod=Kursk
Belopole=Char'kov'
Belostok=Grodno
Belovodsk=Char'kov'
Belozersk=Novgorod
Belsk=Grodno
Belyj=Smolensk
Bendery (Festung)=Bessarabien
Bendin=Piotrkov ?
Berdičev=Kiev
Berdjansk ?=Taurien
Berezna=Černigov
Berezov=Tobol'sk
Berislav=Cherson
Bežeck=Tver'
Bijsk=Tomsk
Birjuč=Voronež
Birsk=Ufa
Björneborg=Finnland, Åbo-Björnebrog
Blagoveščensk=(Gebietsstadt, Amur-Gebiet)
Blaški=Kališ ?
Blone (Blonje?)=Warschau
Bobrinec=Cherson
Bobrov=Voronež
Bobrujsk (Festung)=Minsk
Bogatyj=Kursk
Bogoduchov=Char'kov'
Bogorodick=Tula
Bogorodsk=Moskau
Bogučar=Voronež
Bolchov=Orel
Bol'šija-Soli=Kostroma
Borgo=Finnland, Nyland
Borisoglebsk=Tambov
Borisov=Minsk
Boroviči=Novgorod
Borovsk=Kaluga
Borzna ?=Černigov
Braclav=Podolien
Brahestadt=Finnland, Uleaborg
Brest=Warschau
Brest-Litovsk=Grodno
Breziny=Piotrkow ?
Brjansk=Grodno
Brjansk=Orel
Bronnicy=Moskau
Bugulma=Samara
Buguruslan=Samara
Buinsk=Simbirsk
Buj=Kostroma
Buzuluk=Samara
Chabarovka=Küstg. v. Ostsibirien
Char'kov'=(Gouv.-Stadt)
Chasav-Jurt=Terek-Gebiet
Chenciny=Kelce ?
Cherson (Hafen)=(Gouv.-Stadt)
Chmel'nik=Kelce ?
Chmel'nik=Podolien
Chodžent=Syr-Darja-Gebiet
Cholm=Ljublin
Cholm=Pskov
Cholmogory=Archangel'sk
Chorol=Poltava
Chotin (Festung)=Bessarabien
Chotomyšsk=Kursk
Christinenstadt=Finnland, Wasa
Chvalynsk=Saratov
Dalmatov=Perm'
Danilov=Jaroslav
Dankov=Rjazan'
Dedjuchin (Bergw.)=Perm'
Demjansk=Novgorod
Derbent (Hafen)=Daghestan
Disna=Wilna
Dmitriev an der Svapja=Kursk
Dmitrov=Moskau
Dmitrovsk=Orel
Dobržin=Plock
Dokšicy=Minsk
Dombrova=Grodno
Dorogobuž=Smolensk
Dorpat=Livland
Drisa=Vitebsk
Drogičin=Grodno
Druja=Wilna
Dubbeln=Kurland
Dubenka=Ljublin
Dubno=Wolhynien
Dubosary=Cherson
Dubovk. ?=Saratov
Duchovščina=Smolensk
Dünaburg (Daugavpils, Stadt und Festung)=Vitebsk
Dušet=Tiflis (Georgien)
Džizak=Syr-Darja-Gebiet
Dzjalošicy=Kelce ?
Eckerö=Finnland, Åbo-Björneborg
Efremov=Tula
Egor'evsk=Rjazan'
Ejsk ?=Kuban-Gebiet
Ekaterinburg=Perm'
Ekaterinodar=Kuban-Gebiet
Ekaterinoslav=(Gouv.-Stadt)
Ekenäs=Finnland, Nyland
Elabuga=Vjatka
Elatma=Tambov
Elec=Orel
Elisavetgrad=Cherson
Elisavetpol'=(Gouv.-Stadt)
Elna=Smolensk
Enisejsk?=Enisejsk
Enotaevsk=Astrachan'
Epifan=Tula
Erevan=(Gouv.-Stadt)
Evpatorija (Eupatoria)=Taurien
Fatež=Kursk
Fellin=Livland
Feodosija=Taurien
Fredrikshamn=Finnland, Vyborg
Friedrichstadt (Kr. Selburg)=Kurland
Gačina=St. Petersburg
Gadjač=Poltava
Gajsin ?=Podolien
Galič=Kostroma
Gamla-Karleby=Finnland, Wasa
Garvolin=Sedlec
Gavrilevsk=Vladimir
Gdov=St. Petersburg
Georgievsk=Terek-Gebiet
Gižiga=Ostsib. Küstengeb.
Glazov=Vjatka
Glinsk=Poltava
Gluchov=Černigov
Goldingen=Kurland
Gomdin=Warschau
Gomel' (mit d. Vorstadt Belisa)=Mogilev
Gonionds ?=Grodno
Gora Kalwaria=Warschau
Gorbatov=Nižnij-Novgorod
Gori=Tiflis
Gori-Gorki=Mogilev
Gorochovec=Vladimir
Gorodišče=Penza
Gorodnja=Černigov
Gorodok=Vitebsk
Gostynin=Warschau
Gradižsk=Poltava
Graevo=Lomža
Grajvoron=Kursk
Grigoriopol'=Cherson
Grjazovec=Vologda
Grobin=Kurland
Grodisk=Warschau
Grodno=(Gouv.-Stadt)
Grojec=Warschau
Groznyj=Terek-Gebiet
Grubešov=Ljublin
Gurev=Ural-Gebiet
Gžatsk=Smolensk
Hangö (Festung)=Finnland, Nyland
Hapsal (Kr. Wiek, Hafen)=Estland
Hasenpoth=Kurland
Heinola=Finnland, St. Michel
Helsingfors (=Helsinki)=Finnland, Nyland
Homel' (mit d. Vorstadt Belisa)=Mogilev
Igumen=Minsk
Ileckij-Gorodok=Orenburg
Ilimsk=Irkutsk
Ilža=Radom
Insar=Penza
Irbit=Perm'
Irgis=Turgaisk-Gebiet
Irkutsk=(Gebietsstadt)
Išim=Tobolsk
Izjum=Char'kov'
Izmail=Bessarabien
Jadrin=Kazan'
Jakobstadt=Finnland, Wasa
Jakobstadt=Kurland
Jakutsk=(Gebietsstadt)
Jalta (Hafen)=Taurien
Jalutorovsk=Tobol'sk
Jamburg=St. Petersburg
Jampol ?=Podolien
Janov=Grodno
Janov=Sedlec
Janov, Novo-Janovskij=Ljublin
Jaransk=Vjatka
Jarensk=Vologda
Jaroslavl'=(Gouv.-Stadt)
Joensun=Finnland, Kuopio
Jorois=Finnland, St. Michel
Juchnov=Smolensk
Jur'evec-Povolžskij?=Kostroma
Jur'ev-Pol'skij=Vladimir
Jyväskylä=Finnland, Wasa
Kadnikov=Vologda
Kadom=Tambov
Kadyj=Kostroma
Kagysman=Kars-Gebiet
Kainsk=Tomsk
Kajana=Finnland, Uleaborg
Kališ=(Gouv.-Stadt)
Kaljazin=Tver'
Kalmykov=Ural-Gebiet
Kaluga=(Gouv.-Stadt)
Kalušin=Warschau
Kalvarija=Suvalki
Kamenec-Podol'sk=(Gouv.-Stadt)
Kamyšin=Warschau
Kamyšlov=Perm'
Kanev=Kiev
Kansk=Enisejsk
Karačev=Orel
Karakol, Kreis Isyk-Kul=Semirečensk-Gebiet
Karasubazar=Taurien
Kargopol'=Olonec
Karis=Finnland, Nyland
Karkaralinsk=Semipalatinsk-Gebiet
Kars=(Gebietsstadt)
Karsun=Simbirsk
Kašin=Tver'
Kašira=Tula
Kasimov=Rjazan'
Kaskö=Finnland, Wasa
Kastelholm=Finnland, Åbo-Björneborg
Kazalinsk=Syr-Darja-Gebiet
Kazan'=(Gouv.-Stadt)
Kazimierz=Ljublin
Keksholm=Finnland, Åbo-Björneborg
Kelce?=(Gouv.-Stadt)
Kem=Archangel'sk
Kerč-Enikale?=Taurien
Kerensk=Penza
Kiev=(Gouv.-Stadt)
Kinešma=Kostroma
Kirensk=Irkutsk
Kirilov=Novgorod
Kirsanov=Tambov
Kiržač?=Vladimir
Kišinev=(Gebietsstadt, Bessarabien)
Kisljar (Festung)=Terek-Gebiet
Kjachta (mit Ust-Kjachta)=Transbajkal-Gebiet
Kleščeli=Grodno
Klimoviči=Mogilev
Klin=Moskau
Knjaginin=Nižnij-Novgorod
Knyšin=Grodno
Kobeljaki=Poltava
Kobrin=Grodno
Kokbekty=Semipalatinsk-Gebiet
Kol'no=Lomža
Kola=Archangel'sk
Kolo=Kališ
Konotop=Černigov
Konsk=Radom
Konstantinograd=Poltava
Kopal=Semirečensk-Gebiet
Kopys=Mogilev
Korčeva=Tver'
Koricyn=Grodno
Koroča=Kursk
Korop=Černigov
Korotojak=Voronež
Kostroma=(Gouv.-Stadt)
Kotelnič?=Vjatka
Kovel=Volhynien
Kovno=(Gouv.-Stadt)
Kovrov=Vladimir
Kozelec=Černigov
Kozelsk=Kaluga
Kozenicy=Radom
Kozlov=Tambov
Kozmodemjansk=Kazan'
Krapivna=Tula
Krasnik=Ljublin
Krasnoborsk=Vologda
Krasnojarsk=(Gouv.-Stadt)
Krasnokutsk=Char'kov'
Krasno-Slobodsk=Penza
Krasnostav=Ljublin
Krasno-Ufimsk=Perm'
Krasnyj=Smolensk
Krasnyj-Cholm=Tver'
Krasnyj-Jar=Astrachan'
Kremenčug=Poltava
Kremenec=Volhynien
Krescy=Novgorod
Krochino=Novgorod
Krolevec=Černigov
Kromy=Orel
Kronstadt (Festung)=St. Petersburg
Kuba=Baku
Kungur=Perm'
Kuopio=Finnland, Kuopio
Kupjansk=Char'kov'
Kurgan=Tobol'sk
Kurmyč=Simbirsk
Kursk=(Gouv.-Stadt)
Kutais=(Gouv.-Stadt, Georgien)
Kutno=Warschau
Kuzneck=Saratov
Kuzneck=Tomsk
Kuznica=Grodno
Laišev=Kazan'
Lalsk=Vologda
Lask=Piotrkov
Laukas=Finnland, Wasa
Lebedin=Char'kov'
Lebedjan=Tambov
Lemzal=Livland
Lenčica=Kališ
Lenkoran (Hafen)=Baku
Lenšna=Ljublin
Lepel=Vitebsk
Letičev=Podolien
L'gov=Kursk
Libau=Kurland
Lichvin=Kaluga
Lida=Wilna
Lipeck=Tambov
Lipno=Plock
Lipovec=Kiev
Litin=Podolien
Livny=Orel
Ljubartov=Ljublin
Ljubim=Jaroslav
Ljublin=(Gouv.-Stadt)
Ljucin=Vitebsk
Lochvica=Poltava
Lodejnoe Pole=Olonec
Lodzi (=Lodz)=Piotrkow
Lomža=(Gouv.-Stadt)
Lovič=Warschau
Loviza (Lowisa)=Finnland, Nyland
Lubny=Poltava
Luch=Kostroma
Luck=Volhynien
Luda=Archangel'sk
Luga=St. Petersburg
Lugansk=Ekaterinoslav
Lukojanov=Nižnij-Novgorod
Lukov=Sedlec
Majaki=Cherson
Majkop=Kuban-Gebiet
Makar'ev=Nižnij-Novgorod
Makar'ev a. d. Unža=Kostroma
Makov=Lomža
Malmyš=Vjatka
Maloarchangel=Orel
Malojaroslavec=Kaluga
Mamadyš=Kazan'
Marghelan=(Gouv.-Stadt, Ferghana)
Mariampol'=Suvalki
Mariinsk?=Kazan'
Mariinsk?=Tomsk
Mariupol'=Ekaterinoslav
Mazovec=Lomža
Mcensk=Orel
Mechov=Kelce?
Medyn=Kaluga
Melenki=Vladimir
Melitopol'=Taurien
Melnik=Grodno
Mendžržec=Sedlec
Menzelinsk=Ufa
Merv=Transkaspien
Meščovsk=Kaluga
Mezen=Archangel'sk
Mglin=Černigov
Michajlov=Rjazan'
Minsk=(Gouv.-Stadt)
Minusinsk=Enisejsk
Mirgorod=Poltava
Miropole=Kursk
Mitau=(Gouv.-Stadt, Kurland)
Mlava=Plock
Mogilev am Dnepr=(Gouv.-Stadt)
Mogilev am Dnestr=Podolien
Mokšan=Penza
Mologa=Jaroslav
Moršansk=Tambov
Mosalsk=Kaluga
Moskau=(Residenz)
Možaisk=Moskau
Mozdok=Terek-Gebiet
Mozyr=Minsk
Mščonov=Warschau
Mstislavl'=Mogilev
Murom=Vladimir
Myškin=Jaroslav
Nachičevan=Erevan
Nachičevan a. D.=Ekaterinoslav
Nadendal=Finnland, Åbo-Björneborg
Narev=Grodno
Narovčat=Penza
Narva (Festung)=St. Petersburg
Narym=Tomsk
Nedrigajlov=Char'kov'
Nenoksa=Archangel'sk
Nerčinsk=Transbajkal-Gebiet
Nerechta=Kostroma
Nešava=Warschau
Nesviž=Minsk
Nevel=Vitebsk
Nežin=Černigov
Nikolaev=Cherson
Nikolaevsk=(Gebietsstadt, Ostsib. Küste)
Nikolaevsk=Samara
Nikolsk=Vologda
Nikopol'=Ekaterinoslav
Nižnedevick=Voronež
Nižne-Udinsk=Irkutsk
Nižnij-Lomov=Penza
Nižnij-Novgorod=(Gouv.-Stadt)
Nogaisk=Taurien
Nolinsk=Vjatka
Norskoe=Jaroslav
Novaja-Ladoga=St. Petersburg
Novaja-Praga=Cherson
Novaja-Ušica=Podolien
Novgorod=(Gouv.-Stadt)
Novgorod-Seversk=Černigov
Novo-Aleksandrovsk=Kovno
Novo-Bajazet=Erevan
Novo-Novo-Čerkassk=(Hauptort der Don-Kosaken)
Novochopersk=Voronež
Novodvor=Grodno
Novoe-Mesto=Černigov
Novogeorgievsk=Cherson
Novograd-Volynsk=Volhynien
Novogrudok=Minsk
Novominsk=Warschau
Novomirgorod=Cherson
Novomoskovsk=Ekaterinoslav
Novoradomsk=Piotrkow
Novorossijsk=Schwarzmeer-Gebiet
Novoržev=Pskov
Novosil=Tula
Novozybkov=Černigov
Novyj-Dvor=Warschau
Novyj-Oskol=Kursk
Novyj-Uzen=Samara
Nucha=Elisavetpol'
Nykarleby=Finnland, Wasa
Nyslott=Finnland, St. Michel
Nystadt=Finnland, Åbo-Björneborg
Obojan=Kursk
Očakov=Cherson
Ochansk=Perm'
Ochotsk (Hafen)=Ostsibir. Küste
Odelsk=Grodno
Odessa (Hafen)=Cherson
Odoev=Tula
Olemkinsk=Jakutsk-Gebiet
Olgopol'=Podolien
Olkuš=Kelce
Olonec=Olonec
Olviopol'=Cherson
Omsk (Festung)=Akmolinsk-Gebiet
Onega (Hafen)=Archangel'sk
Opatov=Radom
Opečensk=Novgorod
Opočka=Pskov
Opočno=Radom
Oranienbaum=St. Petersburg
Ordubad=Erevan
Orechov=Taurien
Orel=(Gouv.-Stadt)
Orenburg=(Gouv.-Stadt)
Orgeev=Bessarabien
Orlov=Vjatka
Orša=Mogilev
Orsk=Orenburg
Ošmjany=Wilna
Osa=Perm'
Ostaškov=Tver'
Oster=Černigov
Ostrog=Volhynien
Ostrogožsk=Voronež
Ostrolenka=Lomža
Ostrov'=Lomža
Ostrov'=Pskov
Ostrovec=Radom
Ovidiopol'=Cherson
Ovruč=Volhynien
Ozorkov=Kališ
Ozurgety=Kutais
Pabianice=Piotrkow
Papušoj=Bessarabien
Parfent'ev=Kostroma
Pavlodar=Semipalatinsk-Gebiet
Pavlograd=Ekaterinoslav
Pavlov=Moskau
Pavlovsk=St. Petersburg
Pavlovsk=Voronež
Pečory=Pskov
Penza=(Gouv.-Stadt)
Perejaslavl'=Poltava
Perekop=Taurien
Peremyšl'=Kaluga
Pereslavl' Zalesskiij=Vladimir
Perevos?=Nižnij-Novgorod
Perm'=(Gouv-Stadt)
Pernau (Hafen)=Livland
Perovsk=Syr-Darja-Gebiet
Peterhof=St. Petersburg
Petropavlovsk (Avača, Hafen)=Ostsbir. Küstengebiet
Petropavlovsk (Festung)=Akmolinsk-Gebiet
Petrovsk=Jaroslav
Petrovsk=Saratov
Petrovsk (Hafen)=Daghestan
Petrozavodsk=(Gouv.-Stadt, Olonec)
Pilten=Kurland
Pinčov=Kelce
Pinega=Archangel'sk
Pinsk=Minsk
Piotrkow=(Gouv.-Stadt)
Raumo=Finnland, Åbo-Björneborg
Routsinsalmi (Festung)=Finnland, Vyborg
Sordavala (Sortavala, Serdobol)=Finnland, Vyborg
St. Michel=Finnland, St. Michel
Svartholm (Festung)=Finnland, Nyland
Sveaborg (Festung, Hafen)=Finnland, Nyland
Tammerfors=Finnland, Åbo-Björneborg
Tawastehus=Finnland, Tawastehus
Tohmajärvi=Finnland, Kuopio
Tornea=Finnland, Uleaborg
Uleaborg=Finnland, Uleaborg
Ust-Kjachta (s. Kjachta)=Transbajkal-Gebiet
Vilmanstrand (Willmanstrand)=Finnland, Vyborg
Vyborg=Finnland, Vyborg
Wasa (Nikolaistadt)=Finnland, Wasa
